"ID","lineage","lineage_countries_seen","lineage_first_seen","lineage_last_seen"
"SD830","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"SD810","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"SD809","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"SD763","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"SD792","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"SD801","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"SD799","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"Z0083198","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"Z0083234","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"Z0083200","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"Z0083222","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"Z0083201","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"2011100075","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"Z0083186","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"Z0083197","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"Z0083215","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"Z0083202","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"Z0083203","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"SD750","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"LN004","Cosmopolitan_G1","c(""Kenya"", ""Tanzania"")",2010,2018
"SD761","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"SD782","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"SD791","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"SD790","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"MT001","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"SD759","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"MR007","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"SD807","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"02196160414A","Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018
"SD753","Cosmopolitan AF1b_B1.1","Tanzania",2010,2018
"SD756","Cosmopolitan AF1b_B1.1","Tanzania",2010,2018
"SD793","Cosmopolitan AF1b_B1.1","Tanzania",2010,2018
"SD813","Cosmopolitan AF1b_B1.1","Tanzania",2010,2018
"SD815","Cosmopolitan AF1b_B1.1","Tanzania",2010,2018
"SD837","Cosmopolitan AF1b_B1.1","Tanzania",2010,2018
"SD766","Cosmopolitan AF1b_B1.1","Tanzania",2010,2018
"SD767","Cosmopolitan AF1b_B1.1","Tanzania",2010,2018
"SD825","Cosmopolitan AF1b_B1.1","Tanzania",2010,2018
"SD817","Cosmopolitan AF1b_B1.1","Tanzania",2010,2018
"SD827","Cosmopolitan AF1b_B1.1","Tanzania",2010,2018
"SD826","Cosmopolitan AF1b_B1.1","Tanzania",2010,2018
"SD831","Cosmopolitan AF1b_B1.1","Tanzania",2010,2018
"SD823","Cosmopolitan AF1b_B1.1","Tanzania",2010,2018
"SD802","Cosmopolitan AF1b_B1.1","Tanzania",2010,2018
"SD712","Cosmopolitan AF1b_B1.1","Tanzania",2010,2018
"SD745","Cosmopolitan_H1.4","Israel",1995,2001
"SD716","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"SD754","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"SD751","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"SD789","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"SD737","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"SD785","Cosmopolitan_H1.4","Israel",1995,2001
"SD760","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD747","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD806","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD816","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD821","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD749","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD740","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD741","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD735","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD804","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD812","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"RB001","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD755","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD744","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD734","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD738","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD736","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD764","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD828","Cosmopolitan AF1b_A1.1","c(""Tanzania"", ""Uganda"")",2009,2018
"SD834","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD835","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"AR02","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"AR03","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083243","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z00832443","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083233","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0829337","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0829340","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083205","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083214","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083218","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083252","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0829344","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083220","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083261","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0829341","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083249","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083228","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083262","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083239","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0829334","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083237","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083224","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083225","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083245","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083235","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083227","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z00832442","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083231","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083229","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083221","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083263","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083253","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0829323","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0829325","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083265","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0829313","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0829333","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0829335","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083192","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083223","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"Z0083240","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
