ID,assignment,country,year
2021153276,Cosmopolitan AF1a,Kenya,2022
Z0083175,Cosmopolitan AF1a,Kenya,2019
Z00861806,Cosmopolitan AF1a,Kenya,2022
Z00861807,Cosmopolitan AF1a,Kenya,2022
Z00861808,Cosmopolitan AF1a,Kenya,2022
Z00861809,Cosmopolitan AF1a,Kenya,2022
Z00861810,Cosmopolitan AF1a,Kenya,2022
Z00861811,Cosmopolitan AF1a,Kenya,2022
Z00861815,Cosmopolitan AF1a,Kenya,2022
Z00861816,Cosmopolitan AF1a,Kenya,2022
Z00861820,Cosmopolitan AF1a,Kenya,2022
Z00861823,Cosmopolitan AF1a,Kenya,2022
Z00861824,Cosmopolitan AF1a,Kenya,2022
Z00861826,Cosmopolitan AF1a,Kenya,2022
Z00861827,Cosmopolitan AF1a,Kenya,2022
Z00861829,Cosmopolitan AF1a,Kenya,2022
Z00861831,Cosmopolitan AF1a,Kenya,2022
Z00861832,Cosmopolitan AF1a,Kenya,2022
Z00861834,Cosmopolitan AF1a,Kenya,2022
Z00861835,Cosmopolitan AF1a,Kenya,2022
Z00861836,Cosmopolitan AF1a,Kenya,2022
Z00861837,Cosmopolitan AF1a,Kenya,2022
Z00861838,Cosmopolitan AF1a,Kenya,2022
Z00861839,Cosmopolitan AF1a,Kenya,2021
Z00861840,Cosmopolitan AF1a,Kenya,2021
Z00861841,Cosmopolitan AF1a,Kenya,2021
Z00861842,Cosmopolitan AF1a,Kenya,2021
Z00861843,Cosmopolitan AF1a,Kenya,2021
Z00861844,Cosmopolitan AF1a,Kenya,2021
Z00861845,Cosmopolitan AF1a,Kenya,2021
Z00861846,Cosmopolitan AF1a,Kenya,2021
Z00861847,Cosmopolitan AF1a,Kenya,2021
Z00861850,Cosmopolitan AF1a,Kenya,2021
Z00861851,Cosmopolitan AF1a,Kenya,2021
Z00861852,Cosmopolitan AF1a,Kenya,2021
Z00861853,Cosmopolitan AF1a,Kenya,2021
Z00861854,Cosmopolitan AF1a,Kenya,2021
Z00861855,Cosmopolitan AF1a,Kenya,2021
Z00861858,Cosmopolitan AF1a,Kenya,2021
Z00861859,Cosmopolitan AF1a,Kenya,2021
Z00861860,Cosmopolitan AF1a,Kenya,2021
Z00861862,Cosmopolitan AF1a,Kenya,2021
Z00861863,Cosmopolitan AF1a,Kenya,2021
Z00861864,Cosmopolitan AF1a,Kenya,2021
Z00861865,Cosmopolitan AF1a,Kenya,2021
