"lineage","country","year_first","year_last","n_seqs","parent"
"Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018,20,"Cosmopolitan AF1a_A1"
"Cosmopolitan AF1b_A1","c(""Burundi"", ""Rwanda"", ""Tanzania"", ""Uganda"")",1990,2017,16,"Cosmopolitan_A1.2"
"Cosmopolitan AF1b_A1.1","c(""Tanzania"", ""Uganda"")",2009,2018,0,"Cosmopolitan AF1b_A1"
"Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018,5,"Cosmopolitan AF1b_A1.1"
"Cosmopolitan AF1b_B1.1","Tanzania",2010,2018,7,"Cosmopolitan AF1b_B1"
"Cosmopolitan AF1b_B1.2","Tanzania",2011,2017,64,"Cosmopolitan AF1b_B1"
"Cosmopolitan AF1b_C1","Tanzania",2009,2017,4,"Cosmopolitan AF1b_A1.1.2"
"Cosmopolitan_A1.2.1","c(""South Africa"", ""Tanzania"", ""Zambia"", ""Zimbabwe"")",1981,2017,4,"Cosmopolitan_A1.2"
"Cosmopolitan_A1.2.2","c(""China"", ""France"", ""India"", ""Japan"", ""Kenya"", ""Tanzania"")",1976,2018,8,"Cosmopolitan_A1.2"
"Cosmopolitan_C1.1","c(""South Africa"", ""Zimbabwe"")",1990,2017,1,"Cosmopolitan_C1"
"Cosmopolitan_G1","c(""Kenya"", ""Tanzania"")",2010,2018,1,"Cosmopolitan_A1.2.2"
"Cosmopolitan_H1.4","Israel",1995,2001,2,"Cosmopolitan_H1"
"Cosmopolitan AF1a_A1","c(""Algeria"", ""Italy"", ""Morocco"", ""Tunisia"")",1986,2018,0,"Cosmopolitan_A1"
"Cosmopolitan AF1b_A1.1.2","Tanzania",2003,2011,0,"Cosmopolitan AF1b_A1.1"
"Cosmopolitan AF1b_B1","Tanzania",2004,2012,0,"Cosmopolitan AF1b_A1.1.1"
"Cosmopolitan_A1.2","c(""Central African Republic"", ""Madagascar"", ""Tanzania"", ""Zimbabwe"")",1986,2017,0,"Cosmopolitan_A1"
"Cosmopolitan_C1","c(""Mozambique"", ""South Africa"", ""Zimbabwe"")",1986,2012,0,"Cosmopolitan_A1.2.1"
"Cosmopolitan_H1","Israel",1996,2004,0,"Cosmopolitan_F1.1.1"
"Cosmopolitan_A1","c(""Brazil"", ""China"", ""Gabon"", ""Grenada"", ""Japan"", ""Mexico"", ""Nigeria"", ""Peru"", ""Russia"")",1931,2020,0,"Cosmopolitan"
"Cosmopolitan_F1.1.1","Israel",1996,1998,0,"Cosmopolitan_F1.1"
"Cosmopolitan","",NA,NA,0,"RABV"
"Cosmopolitan_F1.1","c(""Israel"", ""Jordan"", ""Lebanon"")",1996,2004,0,"Cosmopolitan_F1"
"Cosmopolitan_F1","c(""Israel"", ""Turkey"")",1993,2020,0,"Cosmopolitan_A1.1.2"
"Cosmopolitan_A1.1.2","c(""Iran"", ""Israel"", ""Turkey"")",1976,2013,0,"Cosmopolitan_A1.1"
"Cosmopolitan_A1.1","c(""Madagascar"", ""Montenegro"", ""Serbia"")",1978,2004,0,"Cosmopolitan_A1"
