"lineage","tips","distance","country","year_first","year_last"
"Cosmopolitan AF1a_C1_E1",5,0.0651109771,"Kenya",2021,2022
"Cosmopolitan AF1a_C1.1.1_E1",5,0.0760318846,"Kenya",2021,2021
"Cosmopolitan AF1a_D1_E1",5,0.0833939786,"Kenya",2021,2021
"Cosmopolitan AF1b_B1.1_E1",5,0.0758749619000001,"Tanzania",2022,2022
"Cosmopolitan AF1b_B1.2_E1",5,0.0739212815,"Tanzania",2011,2012
"Cosmopolitan AF1b_B1.2_E2",5,0.0740033855,"Tanzania",2011,2015
"Cosmopolitan AF1b_B1.2_E3",5,0.0740033855,"Tanzania",2012,2012
"Cosmopolitan AF1b_B1.2_E4",5,0.0748268838,"Tanzania",2016,2017
"Cosmopolitan AF1b_B1.2_E5",5,0.0748268838,"Tanzania",2015,2017
"Cosmopolitan AF1b_B1.2_E6",6,0.0739264426,"c(""Tanzania"", ""Kenya"")",2021,2022
"Cosmopolitan AF1b_B1.2_E7",6,0.0741021273,"Kenya",2020,2022
"Cosmopolitan AF1b_B1.2_E7",5,0.0741046532,"Kenya",2021,2022
"Cosmopolitan AF1b_B1.2_E7",6,0.0750640094,"Kenya",2021,2021
"Cosmopolitan AF1b_B1.2_E7",5,0.0749770316,"Kenya",2021,2021
"Cosmopolitan AF1b_B1.2_E7",6,0.0751496042,"Kenya",2022,2022
"Cosmopolitan AF1b_D1_E1",5,0.073770359,"Tanzania",2020,2022
"Cosmopolitan_J1_E1",5,0.0688090699,"Kenya",2021,2021
"Cosmopolitan_J1.1.1_E1",5,0.070220793,"Tanzania",2013,2013
"Cosmopolitan_K1_E1",5,0.0769809079,"Tanzania",2021,2022
"Cosmopolitan_K1_E2",5,0.0769809079,"Tanzania",2022,2022
